id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1501244,2019-09-09,000001,Vente,136000,17,B,RUE HENRI BENARD,0584,97432,97416,Saint-Pierre,974,,,97416000HP0420,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.476753,-21.282282
2019-1501245,2019-09-23,000001,Vente,85000,10,,CHE MATS DE CHOCAS,0916,97421,97414,Saint-Louis,974,,,97414000EN2765,,,12,,,,,,,,,,1,2,Appartement,59,3,,,,,,55.432391,-21.275107
2019-1501245,2019-09-23,000001,Vente,85000,10,,CHE MATS DE CHOCAS,0916,97421,97414,Saint-Louis,974,,,97414000EN2765,,,59,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.432391,-21.275107
2019-1501246,2019-09-12,000001,Vente,200000,56,,CHE DES BARRIERES,0030,97426,97423,Les Trois-Bassins,974,,,97423000AH0835,,,,,,,,,,,,,0,1,Maison,98,6,S,sols,,,724,55.297942,-21.106087
2019-1501247,2019-08-28,000001,Vente,215000,212,,RUE PIERRE RIVALS,1528,97418,97422,Le Tampon,974,,,97422000AP0762,,,,,,,,,,,,,0,1,Maison,83,5,AB,terrains a bâtir,,,635,55.552244,-21.231047
2019-1501247,2019-08-28,000001,Vente,215000,22,A,RUE PIERRE RIVALS,1528,97418,97422,Le Tampon,974,,,97422000AP0764,,,,,,,,,,,,,0,,,,,S,sols,,,136,55.552307,-21.23095
2019-1501248,2019-09-12,000001,Vente,241000,61,D,ALL DES MYOSOTIS,0981,97421,97414,Saint-Louis,974,,,97414000ET2105,,,,,,,,,,,,,0,,,,,S,sols,,,296,55.443602,-21.279785
2019-1501248,2019-09-12,000001,Vente,241000,,,LE BOIS DE NEFLES,B004,97421,97414,Saint-Louis,974,,,97414000ET2120,,,,,,,,,,,,,0,,,,,S,sols,,,56,55.443534,-21.279873
2019-1501249,2019-09-13,000001,Vente,114450,2,,CHE MAXIMUS,1601,97432,97416,Saint-Pierre,974,,,97416000CZ1601,,,52,,,,,,,,,,1,2,Appartement,47,2,,,,,,55.489765,-21.299398
2019-1501249,2019-09-13,000001,Vente,114450,2,,CHE MAXIMUS,1601,97432,97416,Saint-Pierre,974,,,97416000CZ1601,,,160,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.489765,-21.299398
2019-1501250,2019-09-17,000001,Vente,215000,65,C,CHE DES PAPAYES,1026,97421,97414,Saint-Louis,974,,,97414000EN3035,,,,,,,,,,,,,0,1,Maison,93,4,S,sols,,,465,55.436064,-21.27546
2019-1501251,2019-08-30,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.523497,-21.272806
2019-1501251,2019-08-30,000001,Vente en l'état futur d'achèvement,97250,,,LE LYCEE,B073,97430,97422,Le Tampon,974,,,97422000CD0460,,,31,,,,,,,,,,1,2,Appartement,22,1,,,,,,55.523497,-21.272806
2019-1501252,2019-09-18,000001,Vente,100000,7,,ALL DES LIERRES,0817,97421,97414,Saint-Louis,974,,,97414000EV0545,,,,,,,,,,,,,0,,,,,S,sols,,,699,55.438393,-21.26756
2019-1501253,2019-09-13,000001,Vente,169000,1,,ALL MARTIN LUTHER KING,0723,97410,97416,Saint-Pierre,974,,,97416000IK0251,,,34,70,,,,,,,,,1,1,Maison,51,3,,,,,,,
2019-1501254,2019-09-09,000002,Vente,150000,8,,CHE GUY DE MAUPASSANT,1033,97430,97422,Le Tampon,974,,,97422000BV3007,,,,,,,,,,,,,0,1,Maison,75,3,S,sols,,,501,55.501082,-21.265322
2019-1501254,2019-09-09,000002,Vente,150000,8,,CHE GUY DE MAUPASSANT,1033,97430,97422,Le Tampon,974,,,97422000BV3007,,,,,,,,,,,,,0,1,Maison,94,4,S,sols,,,501,55.501082,-21.265322
2019-1501255,2019-09-13,000001,Vente,253600,9,,RUE JACQUES PREVERT,1093,97430,97422,Le Tampon,974,,,97422000BV0204,,,,,,,,,,,,,0,1,Maison,120,6,S,sols,,,685,55.500232,-21.266444
2019-1501256,2019-08-26,000001,Vente,132000,,,LOTISSEMENT DE LA BERGERIE,B072,97430,97422,Le Tampon,974,,,97422000AN0322,,,,,,,,,,,,,0,,,,,B,bois,IMPRO,Lande improductive,2401,55.578492,-21.254328
2019-1501256,2019-08-26,000001,Vente,132000,,,LOTISSEMENT DE LA BERGERIE,B072,97430,97422,Le Tampon,974,,,97422000AN0325,,,,,,,,,,,,,0,,,,,T,terres,,,8057,55.580011,-21.253096
2019-1501256,2019-08-26,000001,Vente,132000,,,LOTISSEMENT DE LA BERGERIE,B072,97430,97422,Le Tampon,974,,,97422000AN0498,,,,,,,,,,,,,0,,,,,T,terres,,,77076,55.581042,-21.253652
2019-1501256,2019-08-26,000001,Vente,132000,,,LOTISSEMENT DE LA BERGERIE,B072,97430,97422,Le Tampon,974,,,97422000AN0498,,,,,,,,,,,,,0,,,,,B,bois,IMPRO,Lande improductive,4615,55.581042,-21.253652
2019-1501256,2019-08-26,000001,Vente,132000,,,LOTISSEMENT DE LA BERGERIE,B072,97430,97422,Le Tampon,974,,,97422000AN0502,,,,,,,,,,,,,0,,,,,B,bois,IMPRO,Lande improductive,9711,55.583144,-21.254065
2019-1501257,2019-09-17,000001,Vente,58000,167,,RTE DE LA LIGNE PARADIS,0681,97410,97416,Saint-Pierre,974,,,97416000IE1171,,,64,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.457867,-21.302019
2019-1501257,2019-09-17,000001,Vente,58000,167,,RTE DE LA LIGNE PARADIS,0681,97410,97416,Saint-Pierre,974,,,97416000IE1171,,,12,,,,,,,,,,1,2,Appartement,35,1,,,,,,55.457867,-21.302019
2019-1501258,2019-09-19,000001,Vente,346000,1,,RLE DUPUIS,0108,97410,97416,Saint-Pierre,974,,,97416000DS0310,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,485,55.475003,-21.336396
2019-1501259,2019-09-09,000001,Vente,500000,67,,CHE ESTHER,0526,97410,97416,Saint-Pierre,974,,,97416000DE0376,,,,,,,,,,,,,0,,,,,S,sols,,,484,55.472897,-21.310506
2019-1501259,2019-09-09,000001,Vente,500000,67,,CHE ESTHER,0526,97410,97416,Saint-Pierre,974,,,97416000DE0376,,,,,,,,,,,,,0,,,,,T,terres,,,2250,55.472897,-21.310506
2019-1501259,2019-09-09,000001,Vente,500000,67,,CHE ESTHER,0526,97410,97416,Saint-Pierre,974,,,97416000DE0379,,,,,,,,,,,,,0,,,,,T,terres,,,672,55.472427,-21.31006
2019-1501260,2019-09-10,000001,Vente,122400,,,RAVINE DES CITRONS,B025,97414,97403,Entre-Deux,974,,,97403000AP1629,,,,,,,,,,,,,0,,,,,T,terres,,,243,55.479627,-21.244627
2019-1501260,2019-09-10,000001,Vente,122400,,,RAVINE DES CITRONS,B025,97414,97403,Entre-Deux,974,,,97403000AP1631,,,,,,,,,,,,,0,,,,,T,terres,,,739,,
2019-1501261,2019-09-09,000001,Vente,255000,31,,CHE LA CHAINE,0081,97432,97416,Saint-Pierre,974,,,97416000CX1245,,,,,,,,,,,,,0,1,Maison,76,4,S,sols,,,287,55.496767,-21.303407
2019-1501262,2019-09-10,000001,Vente,157000,50,C,RUE FRANCOIS HOAREAU,0240,97429,97405,Petite-Île,974,,,97405000AZ0840,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,140,55.560781,-21.358591
2019-1501262,2019-09-10,000001,Vente,157000,,,RUE FRANCOIS HOAREAU,0240,97429,97405,Petite-Île,974,,,97405000AZ0841,,,,,,,,,,,,,0,,,,,S,sols,,,32,55.56082,-21.358549
2019-1501262,2019-09-10,000001,Vente,157000,,,RUE DU PITON,0440,97429,97405,Petite-Île,974,,,97405000AZ0918,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,85,55.560883,-21.358555
2019-1501263,2019-09-18,000001,Vente,114338,226,,CHE DU CIMETIERE,0092,97410,97416,Saint-Pierre,974,,,97416000EZ0398,,,4,,7,,,,,,,,2,2,Appartement,65,3,,,,,,,
2019-1501264,2019-09-20,000001,Vente,171000,41,,RUE AUGUSTIN ARCHAMBAUD,0030,97410,97416,Saint-Pierre,974,,,97416000DX0123,,,25,,,,,,,,,,1,2,Appartement,64,3,,,,,,,
2019-1501264,2019-09-20,000001,Vente,171000,41,,RUE AUGUSTIN ARCHAMBAUD,0030,97410,97416,Saint-Pierre,974,,,97416000DX0123,,,44,,,,,,,,,,1,3,Dépendance,,0,,,,,,,
2019-1501265,2019-09-19,000001,Vente,65000,72,,RUE ADRIEN LAGOURGUE,0023,97424,97413,Saint-Leu,974,,,97413000DE0673,,,6,,,,,,,,,,1,2,Appartement,73,1,,,,,,55.312386,-21.219494
2019-1501265,2019-09-19,000001,Vente,65000,72,,RUE ADRIEN LAGOURGUE,0023,97424,97413,Saint-Leu,974,,,97413000DE0673,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,55.312386,-21.219494
2019-1501266,2019-08-30,000001,Vente,70000,1,,RUE D'ANCHAING,0010,97442,97417,Saint-Philippe,974,,,97417000AT0202,,,,,,,,,,,,,0,1,Maison,50,4,S,sols,,,390,55.762375,-21.36158
2019-1501267,2019-09-09,000001,Vente,120000,,,RUE BIGEY,0220,97430,97422,Le Tampon,974,,,97422000CD0004,,,,,,,,,,,,,0,,,,,S,sols,,,462,55.524127,-21.269343
2019-1501268,2019-08-30,000001,Vente,175000,1,,CHE DES AROMES,0145,97421,97414,Saint-Louis,974,,,97414000CH0053,,,,,,,,,,,,,0,1,Maison,100,5,B,bois,,,1294,55.401879,-21.205579
2019-1501268,2019-08-30,000001,Vente,175000,1,,CHE DES AROMES,0145,97421,97414,Saint-Louis,974,,,97414000CH0053,,,,,,,,,,,,,0,1,Maison,100,5,L,landes,IMPRO,Lande improductive,776,55.401879,-21.205579
2019-1501268,2019-08-30,000001,Vente,175000,1,,CHE DES AROMES,0145,97421,97414,Saint-Louis,974,,,97414000CH0053,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,420,55.401879,-21.205579
2019-1501269,2019-09-09,000001,Vente,272000,4,,CHE OULIA,0262,97425,97401,Les Avirons,974,,,97401000AM1532,,,36,,,,,,,,,,1,1,Maison,79,4,,,,,,55.332153,-21.232748
2019-1501270,2019-09-06,000001,Vente,80000,3,B,CHE TERRAIN RICHARD,0922,97410,97416,Saint-Pierre,974,,,97416000CT0719,,,,,,,,,,,,,0,1,Maison,75,3,S,sols,,,783,55.466913,-21.30707
2019-1501271,2019-09-06,000002,Vente,66000,,,VILLAGE,B017,97426,97423,Les Trois-Bassins,974,,,97423000AH1672,,,,,,,,,,,,,0,,,,,T,terres,,,416,55.29286,-21.107302
2019-1501272,2019-09-12,000001,Vente,65000,,,LANGEVIN,B048,97480,97412,Saint-Joseph,974,,,97412000BY0445,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,782,55.653201,-21.381305
2019-1501273,2019-09-09,000001,Vente,227000,1,,ALL DES EVIS,0361,97424,97413,Saint-Leu,974,,,97413000DE1512,,,12,,24,,,,,,,,2,1,Maison,62,3,,,,,,55.313234,-21.216806
2019-1501274,2019-09-06,000001,Vente,350000,193,,AV RAYMOND BARRE,0324,97427,97404,L'Étang-Salé,974,,,97404000AI0315,,,,,,,,,,,,,0,1,Maison,121,4,S,sols,,,671,55.35809,-21.260615
2019-1501274,2019-09-06,000001,Vente,350000,193,,AV RAYMOND BARRE,0324,97427,97404,L'Étang-Salé,974,,,97404000AI0315,,,,,,,,,,,,,0,1,Maison,121,4,VE,vergers,,,2666,55.35809,-21.260615
2019-1501274,2019-09-06,000001,Vente,350000,193,,AV RAYMOND BARRE,0324,97427,97404,L'Étang-Salé,974,,,97404000AI0315,,,,,,,,,,,,,0,1,Maison,121,4,B,bois,,,677,55.35809,-21.260615
2019-1501275,2019-08-30,000002,Vente,210375,,,LITTORAL SUD,B010,97426,97423,Les Trois-Bassins,974,,,97423000AE0888,,,,,,,,,,,,,0,,,,,L,landes,IMPRO,Lande improductive,795,,
2019-1501276,2019-08-30,000001,Vente,247900,75,,RUE DU TOURING HOTEL,0230,97426,97423,Les Trois-Bassins,974,,,97423000AH0976,,,,,,,,,,,,,0,1,Maison,109,3,S,sols,,,725,55.292575,-21.106733
2019-1501277,2019-09-13,000001,Vente,350000,10,,IMP MATUTINA,0658,97424,97413,Saint-Leu,974,,,97413000DM0055,,,,,,,,,,,,,0,2,Appartement,89,4,S,sols,,,640,55.296685,-21.204997
2019-1501277,2019-09-13,000001,Vente,350000,10,,IMP MATUTINA,0658,97424,97413,Saint-Leu,974,,,97413000DM0055,,,,,,,,,,,,,0,2,Appartement,68,1,S,sols,,,640,55.296685,-21.204997
2019-1501278,2019-09-13,000002,Vente,129000,2,,RUE JUSTINIEN VITRY,0884,97480,97412,Saint-Joseph,974,,,97412000BM1344,,,,,,,,,,,,,0,,,,,T,terres,,,573,55.609657,-21.376632
2019-1501279,2019-09-10,000001,Vente en l'état futur d'achèvement,355550,,,MADURAN,B037,97424,97413,Saint-Leu,974,,,97413000CU0983,,,,,,,,,,,,,0,,,,,L,landes,IMPRO,Lande improductive,298,55.290234,-21.180707
