id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2021-1674615,2021-08-17,Vente,32000.0,75,RUE AMIRAL BOUVET,0530,97470,97410,Saint-Benoît,974,1,Appartement,24.0,2,55.720528,-21.036853
2021-1674616,2021-07-30,Vente,160000.0,13,RUE DES JATTES,0789,97411,97415,Saint-Paul,974,0,Maison,56.0,4,55.322834,-20.980998
2021-1674618,2021-07-27,Vente,243000.0,42,RUE DES ENGAGES,1866,97434,97415,Saint-Paul,974,1,Appartement,45.0,2,55.239189,-21.085963
2021-1674621,2021-07-28,Vente,70000.0,6,RUE DES AMARANTES,0052,97490,97411,Saint-Denis,974,1,Appartement,45.0,2,55.474679,-20.893066
2021-1674623,2021-07-21,Vente en l'état futur d'achèvement,196500.0,38,RLE MAGNAN,0802,97490,97411,Saint-Denis,974,1,Appartement,42.0,2,55.467726,-20.887409
2021-1674624,2021-07-22,Vente,175000.0,10,RUE DES CYTISES,0384,97400,97411,Saint-Denis,974,1,Appartement,68.0,3,55.459792,-20.897306
2021-1674625,2021-07-19,Vente,194490.0,48,RUE HO CHI MINH,0203,97419,97408,La Possession,974,1,Appartement,43.0,2,55.339,-20.962899
2021-1674627,2021-07-30,Vente,157000.0,87,RTE N  2 BOURBIER LES BAS,0471,97470,97410,Saint-Benoît,974,1,Maison,83.0,4,55.705299,-21.027143
2021-1674628,2021-07-22,Vente,269900.0,9,RUE DUPLEIX,0160,97420,97407,Le Port,974,0,Maison,58.0,3,55.290857,-20.940449
2021-1674629,2021-07-20,Vente,212400.0,59,CHE LATTENTION EMILIEN,0791,97441,97420,Sainte-Suzanne,974,0,Maison,85.0,4,55.578165,-20.928461
2021-1674630,2021-07-22,Vente,190000.0,9,LOT ANGELO GRONDIN,A005,97440,97409,Saint-André,974,0,Maison,62.0,5,55.648014,-20.929633
